iter	RMSE
250	6346318.537
251	6335594.764
252	6309768.395
253	6291968.923
254	6277404.595
255	6266302.406
256	6252661.784
257	6242535.201
258	6220618.909
259	6190495.283
260	6172422.883
261	6147573.609
262	6131613.507
263	6115282.129
264	6103754.391
265	6071266.498
266	6048858.791
267	6030808.727
268	6019361.177
269	6001867.621
270	5975552.637
271	5965863.05
272	5943323.275
273	5931903.263
274	5921730.62
275	5910531.355
276	5896467.887
277	5886130.006
278	5871114.94
279	5845858.364
280	5836842.559
281	5826798.97
282	5806738.808
283	5797940.689
284	5781597.216
285	5772216.753
286	5749254.368
287	5733440.338
288	5708144.834
289	5698528.843
290	5680969.954
291	5659351.727
292	5645347.565
293	5637771.106
294	5625248.038
295	5613507.302
296	5590488.949
297	5584349.609
298	5565896.019
299	5550895.711
300	5540693.383
301	5526268.174
302	5510160.336
303	5500317.513
304	5478787.05
305	5452674.955
306	5438578.091
307	5424022.987
308	5399369.345
309	5385545.513
310	5366572.355
311	5355989.684
312	5343050.633
313	5323613.088
314	5311608.805
315	5304469.782
316	5295897.994
317	5278313.313
318	5269919.592
319	5252157.026
320	5241394.796
321	5217262.287
322	5208847.236
323	5193969.233
324	5166275.302
325	5153550.15
326	5139006.65
327	5132050.902
328	5116399.95
329	5106084.865
330	5098758.923
331	5087074.502
332	5074789.193
333	5062466.852
334	5037200.432
335	4996548.099
336	4985632.371
337	4976530.689
338	4955750.126
339	4918755.583
340	4909668.742
341	4900003.854
342	4885044.056
343	4873110.193
344	4859129.581
345	4850138.207
346	4837647.068
347	4826862.141
348	4818877.123
349	4812476.402
350	4805246.584
351	4780428.418
352	4772627.333
353	4763750.379
354	4751583.382
355	4732556.181
356	4721184.403
357	4689452.092
358	4678538.492
359	4665840.601
360	4658639.825
361	4649432.93
362	4641138.276
363	4623404.509
364	4614431.021
365	4598358.497
366	4576140.414
367	4567265.666
368	4558625.454
369	4538139.858
370	4528562.017
371	4510495.124
372	4501914.857
373	4487027.99
374	4474394.42
375	4464963.507
376	4455821.38
377	4439138.318
378	4426101.032
379	4415916.097
380	4408250.333
381	4392637.213
382	4380709.293
383	4372650.701
384	4361615.923
385	4356816.077
386	4343884.424
387	4336677.828
388	4328909.566
389	4319751.998
390	4306129.877
391	4285937.076
392	4281599.583
393	4268848.33
394	4253533.614
395	4242076.647
396	4237040.844
397	4228701.041
398	4204145.664
399	4197898.45
400	4190492.537
401	4173123.629
402	4165031.306
403	4159349.679
404	4150208.366
405	4143918.577
406	4134276.848
407	4121099.372
408	4110908.887
409	4100515.209
410	4091054.306
411	4076453.374
412	4066257.066
413	4055754.351
414	4048849.069
415	4034162.335
416	4026032.536
417	4018111.483
418	4005701.522
419	3999114.744
420	3987742.445
421	3973130.145
422	3963105.392
423	3951947.45
424	3941585.978
425	3928526.078
426	3918582.884
427	3905893.268
428	3897030.653
429	3888513.364
430	3879457.22
431	3871183.394
432	3860453.146
433	3853469.706
434	3843806.672
435	3837496.497
436	3827071.628
437	3819524.542
438	3815456.267
439	3808301.877
440	3802711.536
441	3791149.473
442	3782343.393
443	3776469.329
444	3768349.809
445	3758964.215
446	3748300.048
447	3742661.975
448	3736001.052
449	3732108.913
450	3715531.732
451	3710121.801
452	3702349.933
453	3694123.946
454	3680056.4
455	3673552.17
456	3663621.292
457	3659714.145
458	3647886.764
459	3642494.241
460	3637495.232
461	3633623.523
462	3629044.76
463	3623419.739
464	3619251.993
465	3610453.758
466	3606068.645
467	3598490.102
468	3595441.118
469	3584973.574
470	3578067.412
471	3571948.25
472	3564306.317
473	3557461.569
474	3550845.541
475	3542323.198
476	3536148.243
477	3523487.461
478	3518708.815
479	3512658.375
480	3506051.884
481	3501642.301
482	3496856.669
483	3489279.8
484	3484910.81
485	3482471.093
486	3478644.011
487	3474388.413
488	3465125.844
489	3455651.016
490	3447497.646
491	3442376.238
492	3438776.848
493	3431346.123
494	3422739.622
495	3415521.9
496	3403664.829
497	3395093.814
498	3389491.99
499	3384938.464
500	3380374.405
501	3371744.491
502	3368669.623
503	3355984.713
504	3346578.354
505	3342484.814
506	3333784.822
507	3326414.638
508	3316818.261
509	3307750.291
510	3302614.053
511	3296051.753
512	3289247.436
513	3287216.155
514	3284626.684
515	3278431.081
516	3274639.835
517	3265286.039
518	3259524.964
519	3254565.159
520	3250963.723
521	3245097.477
522	3240625.414
523	3234918.49
524	3229230.521
525	3225635.166
526	3220278.801
527	3213632.505
528	3209108.95
529	3201638.692
530	3197091.537
531	3191872.225
532	3186265.751
533	3180081.054
534	3178138.861
535	3172360.897
536	3168272.714
537	3159561.441
538	3155408.162
539	3148996.619
540	3144895.628
541	3138856.921
542	3133746.313
543	3126616.551
544	3119333.376
545	3113969.145
546	3108744.309
547	3105104.332
548	3101649.735
549	3098368.089
550	3092460.573
551	3084543.379
552	3079983.591
553	3076728.984
554	3071008.552
555	3059713.865
556	3054251.42
557	3049289.453
558	3042023.806
559	3035154.342
560	3030255.988
561	3026006.341
562	3022796.513
563	3019414.473
564	3011450.669
565	3005162.111
566	2998687.162
567	2990578.659
568	2986066.421
569	2979115.182
570	2970702.322
571	2966810.909
572	2962773.314
573	2959254.423
574	2955398.073
575	2947813.839
576	2942930.513
577	2939092.392
578	2934691.634
579	2931056.675
580	2925169.472
581	2920401.173
582	2916096.846
583	2909560.407
584	2904364.962
585	2899542.454
586	2896881.199
587	2892477.129
588	2888426.66
589	2882164.64
590	2875158.83
591	2871747.728
592	2864840.4
593	2863337.836
594	2860586.84
595	2856872.303
596	2849842.988
597	2843403.849
598	2839216.475
599	2833104.062
600	2829716.403
601	2827870.821
602	2822710.894
603	2819088.576
604	2816732.878
605	2812007.956
606	2807059.493
607	2799667.944
608	2794321.53
609	2790097.114
610	2784516.711
611	2779958.656
