iter	Passed	Remaining
467	1400	430
468	1403	427
469	1406	425
470	1409	422
471	1413	419
472	1416	416
473	1419	413
474	1422	410
475	1426	407
476	1429	404
477	1434	402
478	1436	398
479	1439	395
480	1441	392
481	1444	389
482	1447	386
483	1449	383
484	1452	380
485	1454	377
486	1457	374
487	1459	370
488	1462	367
489	1465	364
490	1468	361
491	1470	358
492	1473	355
493	1475	352
494	1478	349
495	1480	346
496	1483	343
497	1485	340
498	1488	337
499	1491	333
500	1493	330
501	1496	327
502	1498	324
503	1501	321
504	1503	318
505	1506	315
506	1508	312
507	1511	309
508	1514	306
509	1517	303
510	1520	300
511	1523	297
512	1525	294
513	1529	291
514	1531	288
515	1534	285
516	1536	282
517	1539	279
518	1541	276
519	1544	273
520	1547	270
521	1549	267
522	1552	264
523	1554	261
524	1557	258
525	1559	255
526	1562	251
527	1564	248
528	1567	245
529	1569	242
530	1572	239
531	1575	236
532	1578	233
533	1581	230
534	1583	227
535	1586	224
536	1588	221
537	1591	218
538	1594	215
539	1596	212
540	1599	209
541	1601	206
542	1604	203
543	1607	200
544	1609	197
545	1612	194
546	1614	191
547	1617	188
548	1619	185
549	1622	182
550	1624	179
551	1627	176
552	1629	173
553	1632	170
554	1634	167
555	1637	164
556	1639	161
557	1642	158
558	1645	155
559	1647	152
560	1650	150
561	1652	147
562	1655	144
563	1658	141
564	1660	138
565	1663	135
566	1665	132
567	1668	129
568	1670	126
569	1673	123
570	1676	120
571	1679	117
572	1681	114
573	1684	111
574	1686	108
575	1689	105
576	1692	102
577	1695	99
578	1697	96
579	1700	93
580	1703	90
581	1705	87
582	1708	84
583	1711	82
584	1713	79
585	1716	76
586	1718	73
587	1721	70
588	1724	67
589	1727	64
590	1730	61
591	1732	58
592	1735	55
593	1738	52
594	1740	49
595	1743	46
596	1745	43
597	1748	40
598	1751	38
599	1753	35
600	1756	32
601	1759	29
602	1761	26
603	1764	23
604	1766	20
605	1769	17
606	1772	14
607	1775	11
608	1777	8
609	1780	5
610	1783	2
611	1785	0
