,train_MAE,train_RMSE,train_rows,val_MAE,val_RMSE,val_rows,test_MAE,test_RMSE,test_rows
H1,4590182.313542257,9203049.711805047,1973,2962929.7376493867,4548877.400528422,370,5850566.201043583,12795005.817010207,405
H2,4036566.5668885172,7106860.667113467,1973,3503426.5633638795,5967690.156980909,370,4561082.936789023,8039337.129798951,358
H3,2466934.3434075178,4340487.311469148,1973,1898032.163299804,2829667.447654114,370,5256402.680758213,9102262.697822887,317
