Lake_name,Hylak_id,Country,Latitude,Longitude
Acigol,1341,Turkey,37.83252650542398,29.86101825752383
Adiyaman,14719,Turkey,38.07532307118712,38.26656170665793
Aksehir,1335,Turkey,38.514735830361886,31.41376893762495
Almus Baraji,14540,Turkey,40.37164438440883,36.9567691759405
Altinkaya Baraji,14466,Turkey,41.28202441534528,35.42702879707579
Ataturk Dam,1348,Turkey,37.62016284297993,38.610779752743575
Beysehir,1343,Turkey,37.77666499598681,31.509957287968305
Burdur,1342,Turkey,37.735410813760666,30.18207193667417
Cildir,1311,Turkey,41.04661440909558,43.241732536343186
Eber,1334,Turkey,38.65396584065843,31.170124591150167
Egridir,1340,Turkey,38.05634461701728,30.857448230998322
Ercek,1333,Turkey,38.67514012802378,43.57905629033368
Hazar,14682,Turkey,38.487730838307385,39.40448862792296
Hirfanli,1326,Turkey,39.15595348309596,33.63450846877665
Iznik,1319,Turkey,40.441127693778334,29.522394906323033
Keban Baraji,1332,Turkey,38.84864071468731,39.058341895852344
Kus,1322,Turkey,40.18946535630242,27.96763976565348
Tuz,140,Turkey,38.73014919516684,33.419056598888815
Ulubat,1321,Turkey,40.17211350698918,28.59218361712604
Unnamed,173580,Turkey,38.025157318124634,37.9015093760247
Unnamed,173164,Turkey,39.14502177418026,43.33471825993052
Unnamed,173987,Turkey,36.98366106634761,34.88487552345488
Unnamed,173435,Turkey,38.344170384335925,43.68971927244328
Unnamed,172641,Turkey,40.66377883988647,39.13912006299024
Unnamed,174043,Turkey,36.82318346363884,37.550101637362545
Unnamed,14798,Turkey,36.92401668354917,38.01133807529533
Unnamed,173304,Turkey,38.80402713758337,43.80724258223681
Unnamed,14580,Turkey,39.72801093817265,40.45923916251121
Unnamed,14720,Turkey,38.05430248843799,39.952781283376986
Unnamed,14705,Turkey,38.30645250468964,40.16126126204365
Unnamed,14782,Turkey,37.14215652460151,37.8640046161492
Unnamed,14712,Turkey,38.22183950526177,41.150138154386426
Unnamed,172311,Turkey,41.69767862372185,36.018082784357055
Unnamed,173366,Turkey,38.5611044764049,31.497273990671562
Unnamed,173382,Turkey,38.52539407322874,26.886728874791213
Unnamed,173769,Turkey,37.53434988423624,33.764356806070694
Unnamed,1365671,Turkey,41.152110367366745,26.514431706905217
Unnamed,172602,Turkey,40.78851215410327,26.28176229867078
Unnamed,174068,Turkey,36.714562387210854,35.63386482896307
Unnamed,174158,Turkey,36.29759375084337,33.9541332252883
Unnamed,1365770,Turkey,41.05029666522695,26.345955222871208
Unnamed,1370298,Turkey,36.67401011214054,35.09576724240486
Unnamed,1370597,Turkey,36.28729514940782,33.97499831489619
Unnamed,172761,Turkey,40.3847358132061,28.479205894127098
Unnamed,172763,Turkey,40.37949661792918,28.518362983353892
Unnamed,173254,Turkey,38.88902091369206,33.193465565062425
Unnamed,1368435,Turkey,38.55521973365599,33.37447467767254
Unnamed,172353,Turkey,41.566152081313774,36.094184980671535
Unnamed,1369324,Turkey,37.53419022985526,27.191648007708384
Unnamed,1370266,Turkey,36.70760381263055,35.70023427546455
Unnamed,172343,Turkey,41.584292401782356,36.06306320187012
Unnamed,172349,Turkey,41.56424730835798,36.049027846308086
Unnamed,173384,Turkey,38.51873393971747,33.43804661311498
Unnamed,1365065,Turkey,41.64898865206935,36.05429805474363
Unnamed,1366164,Turkey,40.75354314809694,26.119083283810255
Unnamed,14456,Turkey,41.574353607114695,36.08162072257677
Unnamed,14683,Turkey,38.492057155450716,26.923223786495573
Unnamed,14695,Turkey,38.34039909708242,35.267829732641594
Unnamed,14813,Turkey,36.66612610182846,35.62458336555625
Unnamed,14819,Turkey,36.59609934788996,35.51323849835959
Unnamed,173392,Turkey,38.513415261885605,33.645505397886744
Unnamed,174074,Turkey,36.70398831221825,35.04663170204633
Unnamed,1366170,Greece,40.74549203645388,26.115788860168543
Unnamed,1366521,Turkey,40.38995808403494,28.472926352338792
Unnamed,1367758,Turkey,39.17723540419505,34.380970359393956
Unnamed,1368457,Turkey,38.52305633206971,31.505653678930763
Unnamed,1368648,Turkey,38.29121024573427,33.44169345633098
Unnamed,1369051,Turkey,37.82774335142943,33.63692039350108
Unnamed,1369332,Turkey,37.520590306999,33.79277354121529
Unnamed,1370239,Turkey,36.73738190707696,34.910744411291724
Unnamed,1370292,Turkey,36.67908380150723,35.08561035556552
Unnamed,1370360,Turkey,36.594764022923215,35.34279951155755
Unnamed,172604,Turkey,40.781454895121975,26.267697269674436
Unnamed,173364,Turkey,38.58059096290466,26.853245334065033
Unnamed,173686,Turkey,37.808843741527355,33.64073035285687
Unnamed,173721,Turkey,37.702326870396696,37.50190344528658
Unnamed,1365064,Turkey,41.64804492389781,36.03284494575066
Unnamed,1365165,Turkey,41.52952874665492,36.07439155632678
