lake_id,date,year,month,season,water_area_m2,water_percent,missing_ratio,ndwi_mean,ndwi_std,ndwi_median,ndwi_max,ndwi_min,ndwi_var
141,2018-01-20,2018,1,Winter,223200.0,12.57606490872211,0.0,0.4414198696613312,0.07294855266809464,0.45468467473983765,0.6205787658691406,0.3002754747867584,0.005321491044014692
141,2018-01-20,2018,1,Winter,20250000.0,24.46183953033268,75.53816046966732,0.4455427825450897,0.02654510922729969,0.4454454481601715,0.566079318523407,0.33878293633461,0.0007046427926979959
141,2018-01-20,2018,1,Winter,15861700.0,59.00337391705446,0.010787606899604578,0.4225553870201111,0.038967523723840714,0.42300885915756226,0.6640419960021973,0.3000890612602234,0.0015184680232778192
141,2018-01-20,2018,1,Winter,18526100.0,22.450980392156865,77.54901960784314,0.4629238545894623,0.03344053402543068,0.4655870497226715,0.5885714292526245,0.334389865398407,0.0011182693997398019
141,2018-01-20,2018,1,Winter,26836600.0,72.43933381920263,0.0037789834534510216,0.40777063369750977,0.04196637123823166,0.4131944477558136,0.5432098507881165,0.30005940794944763,0.0017611762741580606
141,2018-01-20,2018,1,Winter,13055400.0,15.840856144437973,83.2847990681421,0.4420623481273651,0.029755601659417152,0.44481605291366577,0.5503876209259033,0.30007028579711914,0.000885395857039839
141,2018-01-20,2018,1,Winter,19131300.0,52.990887183890536,20.016896102816943,0.4133114516735077,0.03923919051885605,0.41972920298576355,0.5480349063873291,0.3000623881816864,0.0015397140523418784
141,2018-01-20,2018,1,Winter,12600.0,0.04376094023505876,98.11862687894197,0.35845887660980225,0.030565273016691208,0.35557034611701965,0.42620232701301575,0.3029197156429291,0.0009342359262518585
141,2018-01-20,2018,1,Winter,15007500.0,18.339873322587465,74.4322063206725,0.41384321451187134,0.03787587583065033,0.4163568913936615,0.6177214980125427,0.30013832449913025,0.0014345820527523756
141,2018-01-30,2018,1,Winter,0.0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.0,0.0
141,2018-01-30,2018,1,Winter,7319800.0,8.84226039477181,77.81897030755478,0.9265903830528259,0.1527731865644455,0.9886363744735718,0.9956709742546082,0.3001083433628082,0.02333964593708515
141,2018-01-30,2018,1,Winter,1446900.0,5.382271870013057,27.64156874123507,0.9215314388275146,0.14714735746383667,0.9807692170143127,0.9947780966758728,0.30102041363716125,0.0216523464769125
141,2018-01-30,2018,1,Winter,6250500.0,7.5747109721515296,79.08395743958894,0.9495431780815125,0.12159872055053711,0.9890710115432739,0.9952380657196045,0.3001776337623596,0.014786248095333576
141,2018-01-30,2018,1,Winter,3738000.0,10.089885820714228,13.943909088455205,0.9031396508216858,0.17237746715545654,0.9816513657569885,0.9979695677757263,0.30008748173713684,0.029713990166783333
141,2018-01-30,2018,1,Winter,12104600.0,14.687196660842556,83.28698311007572,0.96308434009552,0.10974296927452087,0.9935897588729858,0.9951573610305786,0.30008748173713684,0.01204351894557476
141,2018-01-30,2018,1,Winter,15268600.0,42.291776306678116,25.882336647923992,0.9469383955001831,0.12760663032531738,0.9901477694511414,0.9979695677757263,0.3000997006893158,0.01628345064818859
141,2018-01-30,2018,1,Winter,67600.0,0.2347809174515851,98.12001611513989,0.8758156895637512,0.1759776473045349,0.9750000238418579,0.9944598078727722,0.31058019399642944,0.030968133360147476
141,2018-01-30,2018,1,Winter,6552100.0,8.006975445405653,78.07842854506727,0.8887202143669128,0.19018380343914032,0.9870129823684692,0.9955056309700012,0.3000997006893158,0.036169879138469696
141,2018-02-14,2018,2,Winter,1232100.0,64.45386064030131,0.052312199204854574,0.9687877297401428,0.10214395076036453,0.9912280440330505,0.9965694546699524,0.3012462258338928,0.010433387011289597
141,2018-02-14,2018,2,Winter,364300.0,17.0632318501171,0.0,0.9709455966949463,0.09165883809328079,0.9929824471473694,0.9949367046356201,0.3001345992088318,0.008401342667639256
141,2018-02-14,2018,2,Winter,1960800.0,2.3030303030303028,97.69696969696969,0.9911736845970154,0.00047409284161403775,0.9912280440330505,0.9928571581840515,0.9891892075538635,2.247640225050418e-07
141,2018-02-14,2018,2,Winter,5985400.0,7.038599759163092,92.96140024083691,0.992251992225647,0.0008223378681577742,0.9921875,0.9941691160202026,0.9539473652839661,6.762395514670061e-07
141,2018-02-14,2018,2,Winter,425500.0,1.4631043256997456,92.36641221374046,0.9823535680770874,0.06507285684347153,0.9930070042610168,0.9939576983451843,0.30645161867141724,0.00423447648063302
141,2018-02-14,2018,2,Winter,35528700.0,51.515507416590545,0.1770411936143373,0.989334762096405,0.032046619802713394,0.9927797913551331,0.9965397715568542,0.3002754747867584,0.0010269859340041876
141,2018-02-14,2018,2,Winter,1530700.0,69.64691964691964,0.00455000455000455,0.9836738705635071,0.05982711911201477,0.9919028282165527,0.9971014261245728,0.3076923191547394,0.0035792842973023653
141,2018-02-14,2018,2,Winter,70074900.0,85.23993723314966,0.05619822647155421,0.9899742007255554,0.02351498417556286,0.9915611743927002,0.9993299841880798,0.30007028579711914,0.0005529545014724135
141,2018-02-14,2018,2,Winter,34176000.0,42.75848263437093,0.005630067060354319,0.9884206652641296,0.04051205888390541,0.9922480583190918,0.9968253970146179,0.3002481460571289,0.0016412270488217473
141,2018-02-14,2018,2,Winter,23910000.0,82.48724397387731,0.0027599245160644854,0.988015353679657,0.036325350403785706,0.9928315281867981,0.9974874258041382,0.3009198307991028,0.0013195311184972525
141,2018-02-14,2018,2,Winter,10342600.0,70.1193220338983,0.09898305084745762,0.9855704307556152,0.04788512364029884,0.9909502267837524,0.99726402759552,0.3001786768436432,0.0022929850965738297
